"","x"
"1",-0.624684431329996
"2",-1.37828062695989
"3",-0.118124495378184
"4",-1.59107519760128
"5",1.59250160165614
"6",2.35970041702388
"7",0.333564426588994
"8",0.978221443705256
"9",-0.999637076973399
"10",-0.303053681162077
"11",-0.0719003179152906
"12",-0.211309546725853
"13",-0.926033698906025
"14",0.483134273211337
"15",-0.11282894862007
"16",-0.14807510384107
"17",-4.15835630280192
"18",-0.479579998783571
"19",0.87736072901955
"20",1.73172453590446
"21",0.537838212858932
"22",-0.082927309396187
"23",-0.0303980846587268
"24",0.386519704158256
"25",-1.43481832000964
"26",0.124230749886555
"27",0.453918551440009
"28",3.30597749363106
"29",0.289376385051638
"30",0.0458947383021726
"31",2.44381974774123
"32",-1.14849084463244
"33",-0.584044081344894
"34",-0.421434832866038
"35",-1.0106341083698
"36",0.444998693953512
"37",-0.950228146663167
"38",1.04861044326783
"39",-0.270355993401297
"40",0.927374118800052
"41",0.295357997491371
"42",1.52930378456063
"43",1.71054283949522
"44",0.13641951664087
"45",0.0310993071411479
"46",-0.75760717199888
"47",-1.36334376919813
"48",-0.182580093509299
"49",1.66812444559573
"50",-0.27044891144276
"51",1.51551276700505
"52",-0.844496945501153
"53",0.819218684907549
"54",0.314178774322557
"55",1.72721425042884
"56",-0.945917683064458
"57",-1.03121808987887
"58",0.899824578863559
"59",0.224178090549813
"60",1.81865302253582
"61",0.675975733536448
"62",0.788473746010233
"63",-0.338267053246051
"64",-0.85378793418278
"65",1.35379846474132
"66",0.702932582421979
"67",0.459348730174874
"68",-0.0207987312565471
"69",-0.319103429612967
"70",-0.316348464420963
"71",-1.57320540379756
"72",-1.44434555539281
"73",-0.484080832347693
"74",-0.0180963107502611
"75",2.9350052926627
"76",-0.0239132281115212
"77",-1.05361628716655
"78",-0.682017313189183
"79",-0.175419620627215
"80",-1.03699646178193
"81",-0.966136371238269
"82",-0.438357784471347
"83",0.900859455545975
"84",0.636803659825692
"85",1.66593309272499
"86",1.84413901326683
"87",-1.54093199031311
"88",3.3735243517301
"89",-0.247765500521339
"90",-0.491978449616341
"91",-0.00681830929343238
"92",-0.0553937276239767
"93",0.199046596110448
"94",-0.710096242927589
"95",0.103082872705871
"96",0.304106370636789
"97",-0.52809806137571
"98",1.00265901347861
"99",-0.378004931578052
"100",-0.893808091415035
"101",0.96457838319494
"102",-0.0906226689703034
"103",-0.900373339811369
"104",0.836415709320229
"105",-0.0816836201389085
"106",2.15454444052401
"107",1.56853245619915
"108",-1.69972368387913
"109",0.912235792516678
"110",-0.354949430319195
"111",1.72089997420357
"112",-0.35908434783718
"113",-1.84208064328667
"114",-1.69292871468634
"115",-2.34139544071345
"116",-0.239518133401031
"117",1.16753534321873
"118",0.873675566777981
"119",-1.22535524615277
"120",-0.452086061657066
"121",0.0713801635682997
"122",0.0428515658698913
"123",-0.807781159576901
"124",0.728219860984448
"125",1.45420131419094
"126",-0.222101191921343
"127",0.986472985798207
"128",1.39741637640895
"129",0.158001980300454
"130",1.58467717601891
"131",-0.414678718302465
"132",1.0556788418134
"133",-2.02213004092587
"134",0.880635328440341
"135",1.16394326409445
"136",-2.12081542364782
"137",-0.43517482588323
"138",0.788269401832307
"139",0.909777055287706
"140",1.87596347874326
"141",-1.3511245280059
"142",1.40453056173995
"143",1.79932570201246
"144",1.48996485345765
"145",-1.98955591958835
"146",-3.1882891505243
"147",0.289403811926742
"148",0.536647669113124
"149",1.73849266226203
"150",-0.0933838840128519
"151",-1.08466683825195
"152",-1.5045417069319
"153",-2.33577929622512
"154",-0.346486791294307
"155",0.437088692958743
"156",-3.9883087323842
"157",0.644810083184644
"158",0.905574352245657
"159",-0.20304316710433
"160",-0.829089913610853
"161",-0.309610743421658
"162",-1.95405988905766
"163",-1.12960262330779
"164",-1.08848288943102
"165",-0.0260910760249951
"166",-0.764992533255411
"167",-0.99987405286511
"168",1.31204816757437
"169",-1.333993277742
"170",0.757033832947549
"171",0.428511998226013
"172",-0.446362320756716
"173",-0.680390745686498
"174",-1.45005213817587
"175",-0.597136194326497
"176",-0.0262516808603135
"177",-1.89614278274631
"178",-1.56491086017673
"179",0.48804455039343
"180",0.709103241923956
"181",0.56021509085836
"182",0.591668919263078
"183",0.614806232512824
"184",0.293188758471032
"185",1.61449158207922
"186",0.55954881458
"187",-0.23463862184047
"188",-0.184376786715328
"189",0.414523117255038
"190",0.164178960945622
"191",2.40440834225632
"192",0.266321592602282
"193",-0.801106646592323
"194",-0.682307580958937
"195",0.382847935504038
"196",-3.52164596780654
"197",0.107425885044585
"198",0.022882904161773
"199",-2.50220131419822
"200",-0.484865997476916
"201",-0.258081640370784
